Codcir,Codmun,Municipio,Censo Total,Votos Totales,Votos Nulos,Votos Blancos
18,50,Cogollos de la Vega,1.668,985,46,16
18,51,Colomera,1.108,627,13,6
18,53,Cortes de Baza,1.568,844,6,10
18,54,Cortes y Graena,827,538,6,6
18,912,Cuevas del Campo,1.388,799,13,3
18,56,Cúllar,3.438,2.130,85,23
18,57,Cúllar Vega,5.476,3.433,124,66
18,63,Darro,1.203,532,3,2
18,64,Dehesas de Guadix,365,264,5,3
18,65,Dehesas Viejas,593,429,23,1
18,66,Deifontes,2.095,1.250,40,13
18,67,Diezma,664,415,8,3
18,68,Dílar,1.597,1.039,40,15
18,69,Dólar,497,302,9,1
18,915,Domingo Pérez de Granada,730,444,10,9
18,70,Dúdar,275,187,5,2
18,71,Dúrcal,5.559,3.549,223,43
18,910,El Pinar,738,380,8,7
18,902,El Valle,766,562,27,7
18,72,Escúzar,662,394,18,2
18,74,Ferreira,264,184,8,2
18,76,Fonelas,788,460,2,0
18,78,Freila,705,457,7,0
18,79,Fuente Vaqueros,3.437,2.239,127,31
18,82,Galera,831,467,9,8
18,83,Gobernador,222,165,2,1
18,84,Gójar,4.421,2.768,95,46
18,85,Gor,694,386,3,1
18,86,Gorafe,340,234,6,0
18,87,Granada,182.375,116.987,3.278,1.512
18,88,Guadahortuna,1.507,899,14,13
18,89,Guadix,14.568,8.661,196,94
18,93,Gualchos,2.736,1.519,23,12
18,94,Güéjar Sierra,2.283,1.568,69,23
18,95,Güevéjar,2.009,1.207,63,17
18,96,Huélago,335,187,1,0
18,97,Huéneja,941,563,7,6
18,98,Huéscar,5.966,3.432,60,41
18,99,Huétor de Santillán,1.577,1.073,61,16
18,100,Huétor Tájar,7.947,4.829,175,70
18,101,Huétor Vega,9.372,5.812,232,101
18,102,Íllora,8.263,4.677,214,61
18,103,Ítrabo,721,467,5,2
18,105,Iznalloz,3.806,2.022,102,18
18,106,Játar,414,238,11,4
18,107,Jayena,932,589,21,4
18,108,Jerez del Marquesado,829,558,16,9
18,109,Jete,600,339,4,3
18,111,Jun,2.845,1.656,61,29
18,112,Juviles,107,62,6,0
18,114,La Calahorra,584,381,3,1
18,126,La Malahá,1.455,919,44,25
18,154,La Peza,978,561,1,2
18,901,La Taha,491,272,7,3
18,193,La Zubia,14.670,8.839,330,145
18,115,Láchar,2.615,1.583,26,30
18,116,Lanjarón,2.834,1.911,73,23
18,117,Lanteira,500,317,19,2
18,905,Las Gabias,15.427,8.907,406,179
18,119,Lecrín,1.690,1.129,45,21
18,120,Lentegí,258,184,3,4
18,121,Lobras,130,85,4,2
18,122,Loja,15.959,9.896,300,134
18,906,Los Guájares,889,605,8,5
18,123,Lugros,287,184,3,3
18,124,Lújar,360,208,7,0
18,127,Maracena,16.712,10.089,428,168
