,Codcir,Codmun,Municipio,Censo Total,Votos Totales,Votos Nulos,Votos Blancos
321,4,64,Mojácar,2.860,1.652,18,12
322,4,65,Nacimiento,350,243,1,4
323,4,66,Níjar,13.447,7.638,46,73
324,4,67,Ohanes,518,338,10,1
325,4,68,Olula de Castro,165,115,1,0
326,4,69,Olula del Río,4.752,2.911,55,41
327,4,70,Oria,1.532,1.030,10,2
328,4,71,Padules,362,269,8,2
329,4,72,Partaloa,307,205,1,7
330,4,73,Paterna del Río,332,216,4,2
331,4,74,Pechina,2.862,1.584,35,26
332,4,75,Pulpí,5.358,3.207,44,16
333,4,76,Purchena,1.222,860,21,5
334,4,77,Rágol,281,248,3,3
335,4,78,Rioja,1.089,640,8,6
336,4,79,Roquetas de Mar,53.664,29.829,305,370
337,4,80,Santa Cruz de Marchena,203,135,4,0
338,4,81,Santa Fe de Mondújar,347,248,3,0
339,4,82,Senés,270,165,1,2
340,4,83,Serón,1.722,1.139,26,11
341,4,84,Sierro,343,230,4,3
342,4,85,Somontín,375,245,2,1
343,4,86,Sorbas,1.670,1.012,13,7
344,4,87,Suflí,161,104,1,2
345,4,88,Tabernas,2.445,1.382,13,17
346,4,89,Taberno,691,456,10,5
347,4,90,Tahal,272,193,4,2
348,4,91,Terque,320,243,2,2
349,4,92,Tíjola,2.774,1.850,39,10
350,4,93,Turre,1.904,1.004,18,9
351,4,94,Turrillas,209,137,0,0
352,4,95,Uleila del Campo,677,402,5,5
353,4,96,Urrácal,262,182,1,0
354,4,97,Velefique,234,156,0,2
355,4,98,Vélez-Blanco,1.468,850,19,7
356,4,99,Vélez-Rubio,4.909,3.096,63,27
357,4,100,Vera,9.207,4.490,51,33
358,4,101,Viator,4.315,2.529,53,23
359,4,102,Vícar,14.049,7.750,131,94
360,4,103,Zurgena,1.404,889,7,9
361,4,990,Residentes Ausentes Almería,41.116,759,14,6
363,18,1,Agrón,237,154,10,0
364,18,2,Alamedilla,535,336,3,2
365,18,3,Albolote,14.341,8.793,359,132
366,18,4,Albondón,684,407,9,3
367,18,5,Albuñán,367,227,4,2
368,18,6,Albuñol,4.063,2.505,69,35
369,18,7,Albuñuelas,745,417,9,6
370,18,10,Aldeire,539,360,13,1
371,18,11,Alfacar,4.353,2.617,95,23
372,18,12,Algarinejo,2.160,1.422,33,13
373,18,13,Alhama de Granada,4.162,2.581,115,34
374,18,14,Alhendín,6.858,4.084,197,77
375,18,15,Alicún de Ortega,411,291,1,0
