Codcir;Codmun;Municipio;;Censo;Certif. Alta;Censo Total;Votos Totales;Votos Nulos;Votos Blancos;Abstención;Votos Válidos;Votos Candidaturas;Cs;ADELANTE ANDALUCÍA;PACMA;AxSÍ;NA;EQUO-INICIATIVA;PSOE-A;ALTER;PP;P.C.O.E.;UPYD;VOX;FE de las JONS;PCPA;RECORTES CERO - M+J - GV
41;87;Sanlúcar la Mayor;;10.417;0;10.417;6.041;244;70;4.376;5.797;5.727;956;988;120;17;14;30;1.567;3;982;13;8;1.010;4;5;10
41;89;Santiponce;;6.558;0;6.558;3.903;113;61;2.655;3.790;3.729;592;844;82;138;6;12;1.319;1;426;9;1;279;6;10;4
41;91;Sevilla;;539.482;53;539.535;339.226;5.661;5.675;200.309;333.565;327.890;62.717;62.976;7.486;1.311;513;1.946;84.160;274;62.749;495;705;41.260;191;312;795
41;92;Tocina;;7.685;0;7.685;4.438;130;79;3.247;4.308;4.229;704;617;63;33;14;6;1.887;0;565;13;6;309;3;5;4
41;93;Tomares;;18.920;6;18.926;12.964;155;204;5.962;12.809;12.605;3.004;2.146;274;31;10;86;2.323;3;2.932;13;39;1.702;6;5;31
41;94;Umbrete;;6.423;0;6.423;3.930;127;53;2.493;3.803;3.750;591;569;68;12;2;23;1.261;4;700;7;3;497;6;3;4
41;95;Utrera;;41.570;0;41.570;23.026;488;571;18.544;22.538;21.967;4.924;3.101;501;153;51;74;7.417;18;3.130;56;80;2.325;19;36;82
41;96;Valencina de la Concepción;;6.109;0;6.109;4.125;92;58;1.984;4.033;3.975;785;772;87;18;3;31;1.002;2;805;5;7;444;4;8;2
41;97;Villamanrique de la Condesa;;3.147;0;3.147;1.940;60;29;1.207;1.880;1.851;238;152;7;3;4;0;901;0;367;4;1;167;1;3;3
41;100;Villanueva de San Juan;;972;0;972;623;44;4;349;579;575;67;70;5;2;2;2;300;0;118;1;1;6;1;0;0
41;98;Villanueva del Ariscal;;5.122;0;5.122;3.258;72;41;1.864;3.186;3.145;357;428;69;6;3;13;1.017;0;879;6;2;355;1;1;8
41;99;Villanueva del Río y Minas;;3.968;0;3.968;2.005;37;26;1.963;1.968;1.942;244;258;30;15;3;4;926;2;216;12;2;218;4;3;5
41;101;Villaverde del Río;;5.966;0;5.966;3.605;91;58;2.361;3.514;3.456;485;553;38;6;3;7;1.310;1;779;12;3;247;1;9;2
41;990;Residentes Ausentes Sevilla;;34.050;0;34.050;1.310;9;5;32.740;1.301;1.296;294;414;29;6;6;29;199;3;181;4;17;105;1;3;5
Total;;;;1.539.899;78;1.539.977;912.305;21.515;16.037;627.672;890.790;874.753;158.345;168.290;18.508;5.680;1.421;4.278;266.875;930;147.078;2.133;1.900;95.512;672;1.203;1.928
