Codcir;Codmun;Municipio;;Censo;Certif. Alta;Censo Total;Votos Totales;Votos Nulos;Votos Blancos;Abstención;Votos Válidos;Votos Candidaturas;Cs;NA;PP;CAnda;PACMA;PSOE-A;VOX;PCPA;AxSÍ;RECORTES CERO - M+J - GV;UPYD;ADELANTE ANDALUCÍA;EQUO-INICIATIVA;IZAR;UNIDOS SÍ-Democracia Efectiva
18;151;Pampaneira;;249;0;249;148;5;0;101;143;143;12;1;25;0;2;71;12;0;0;0;0;19;1;0;0
18;152;Pedro Martínez;;911;0;911;619;10;2;292;609;607;44;1;67;0;0;447;17;0;0;0;0;31;0;0;0
18;153;Peligros;;8.747;0;8.747;5.259;200;69;3.488;5.059;4.990;1.139;14;868;1;120;1.023;637;21;10;9;3;1.125;15;3;2
18;157;Pinos Genil;;1.151;0;1.151;721;26;7;430;695;688;129;1;187;0;10;148;88;1;4;1;1;111;4;1;2
18;158;Pinos Puente;;8.027;1;8.028;4.205;111;62;3.823;4.094;4.032;689;2;528;5;49;1.661;242;17;6;4;3;816;6;4;0
18;159;Píñar;;990;0;990;683;14;4;307;669;665;34;0;64;0;4;237;45;3;0;0;0;278;0;0;0
18;161;Polícar;;215;0;215;177;0;3;38;177;174;17;0;65;0;1;72;8;0;0;1;0;10;0;0;0
18;162;Polopos;;929;0;929;606;7;6;323;599;593;43;1;192;0;6;220;85;0;0;0;0;43;2;0;1
18;163;Pórtugos;;311;0;311;186;5;2;125;181;179;16;0;62;0;2;56;21;0;0;0;0;22;0;0;0
18;164;Puebla de Don Fadrique;;1.814;0;1.814;1.009;23;9;805;986;977;116;2;371;1;2;290;108;3;1;1;1;79;1;0;1
18;165;Pulianas;;4.198;1;4.199;2.435;91;43;1.764;2.344;2.301;486;3;341;2;76;695;247;3;1;8;4;420;9;3;3
18;167;Purullena;;1.850;0;1.850;1.074;29;17;776;1.045;1.028;112;0;220;0;9;457;78;1;3;2;0;144;0;1;1
18;168;Quéntar;;775;0;775;490;16;8;285;474;466;141;0;98;0;7;112;27;1;1;2;1;71;3;0;2
18;170;Rubite;;320;0;320;182;2;2;138;180;178;21;0;39;0;3;91;10;1;0;1;0;12;0;0;0
18;171;Salar;;2.096;0;2.096;1.420;52;14;676;1.368;1.354;134;2;176;0;10;541;101;5;3;0;1;377;3;0;1
18;173;Salobreña;;8.932;0;8.932;5.052;164;79;3.880;4.888;4.809;758;10;942;3;95;1.595;428;5;16;6;5;927;12;4;3
18;174;Santa Cruz del Comercio;;435;0;435;318;5;3;117;313;310;33;0;52;0;2;162;33;1;1;0;0;26;0;0;0
18;175;Santa Fe;;11.729;0;11.729;7.261;272;97;4.468;6.989;6.892;1.323;12;1.487;13;122;2.123;856;10;8;18;8;882;20;7;3
18;176;Soportújar;;234;0;234;146;0;2;88;146;144;5;0;7;0;0;104;3;0;0;0;0;25;0;0;0
18;177;Sorvilán;;374;0;374;193;3;5;181;190;185;20;0;64;1;1;73;13;0;0;0;0;13;0;0;0
18;178;Torre-Cardela;;677;0;677;447;7;5;230;440;435;43;0;145;0;4;190;23;0;1;0;0;29;0;0;0
18;179;Torvizcón;;507;0;507;303;4;6;204;299;293;26;0;80;0;4;148;18;1;0;0;0;16;0;0;0
18;180;Trevélez;;634;0;634;324;13;5;310;311;306;53;1;44;0;3;113;29;1;1;0;0;55;2;2;2
18;181;Turón;;205;0;205;118;1;1;87;117;116;2;0;71;0;1;17;22;0;0;0;0;3;0;0;0
18;182;Ugíjar;;1.917;0;1.917;1.120;18;6;797;1.102;1.096;130;0;260;0;4;526;117;0;0;3;2;50;4;0;0
18;914;Valderrubio;;1.649;0;1.649;1.111;45;14;538;1.066;1.052;145;0;109;1;17;494;54;4;3;0;0;222;1;1;1
18;907;Valle del Zalabí;;1.786;0;1.786;1.205;21;9;581;1.184;1.175;131;0;303;0;3;522;138;0;0;3;0;72;2;1;0
18;183;Válor;;626;0;626;380;5;6;246;375;369;65;0;81;0;4;147;39;0;0;0;1;30;2;0;0
18;911;Vegas del Genil;;7.821;0;7.821;4.629;210;83;3.192;4.419;4.336;969;8;868;4;100;904;691;7;11;17;12;722;15;5;3
18;184;Vélez de Benaudalla;;2.156;0;2.156;1.378;38;17;778;1.340;1.323;118;0;266;3;16;558;151;4;0;1;1;200;4;0;1
18;185;Ventas de Huelma;;523;0;523;365;4;5;158;361;356;58;1;68;0;8;106;55;0;0;0;0;59;0;0;1
18;149;Villa de Otura;;5.380;0;5.380;3.526;131;40;1.854;3.395;3.355;767;4;805;3;82;711;466;1;5;7;8;483;13;0;0
18;908;Villamena;;794;0;794;493;37;3;301;456;453;91;0;108;0;2;126;42;3;2;1;0;77;0;0;1
18;187;Villanueva de las Torres;;512;0;512;329;4;1;183;325;324;34;0;50;0;1;194;17;0;2;0;0;26;0;0;0
18;188;Villanueva Mesía;;1.650;0;1.650;1.101;36;16;549;1.065;1.049;122;1;220;1;5;529;53;0;1;1;0;113;3;0;0
18;189;Víznar;;767;0;767;515;12;9;252;503;494;87;1;102;1;5;131;41;1;0;2;1;118;2;1;1
18;192;Zafarraya;;1.455;1;1.456;1.012;15;4;444;997;993;119;0;190;1;7;477;63;3;1;0;0;128;2;0;2
18;913;Zagra;;776;0;776;502;15;5;274;487;482;78;2;227;0;5;121;33;0;0;0;0;15;1;0;0
18;194;Zújar;;2.061;0;2.061;1.127;22;21;934;1.105;1.084;166;0;174;1;4;483;138;1;0;0;0;115;0;0;2
18;990;Residentes Ausentes Granada;;49.014;0;49.014;1.303;271;14;47.711;1.032;1.018;227;7;149;1;39;219;67;8;3;12;12;241;32;0;1
Total;;;;750.102;30;750.132;427.755;13.976;5.763;322.377;413.779;408.016;76.176;541;95.379;1.189;7.375;111.380;47.064;845;1.553;950;748;62.447;1.763;280;326
